,name,已發行受益權單位總數,預估發行受益權單位數
0,00694B,"92,576,000","92,576,000"
1,00695B,"25,186,000","25,186,000"
2,00696B,"856,681,000","859,681,000"
3,00746B,"2,143,964,000","2,143,964,000"
4,00740B,"1,112,471,000","1,115,471,000"
5,00846B,"73,850,000","73,850,000"
6,00741B,"11,128,000","11,128,000"
7,00785B,"871,966,000","871,966,000"
